NUM_NS,SOMA_BASE_CR,DATA
1195826170,70590.0,15/08/2025
1195887565,45741.0,15/08/2025
1195908795,5938.88,15/08/2025
1195967379,257.16,15/08/2025
1195970134,5331.97,15/08/2025
1196029693,0.0,15/08/2025
1196070592,22094.0,15/08/2025
1196075605,7963.08,15/08/2025
1196121879,1288.7,15/08/2025
1196274967,4404.85,15/08/2025
1196278427,1080.0,15/08/2025
1196278427,9486.44,15/08/2025
1196281612,0.0,15/08/2025
1196286759,701.0,15/08/2025
1196390988,36986.0,15/08/2025
1196405869,10527.97,15/08/2025
1196462105,0.0,15/08/2025
1196512216,10654.5,15/08/2025
1196599138,15842.0,15/08/2025
1196611709,11278.23,15/08/2025
1196659461,29857.0,15/08/2025
1196693752,77232.59,15/08/2025
1196732146,53335.0,15/08/2025
1196764874,2082.0,15/08/2025
1196767916,77181.0,15/08/2025
1196772260,15250.0,15/08/2025
1196884375,45639.0,15/08/2025
1196891659,5877.69,15/08/2025
1196943701,17556.28,15/08/2025
1196954973,15998.0,15/08/2025
1197002161,18587.5,15/08/2025
1197027472,290727.38,15/08/2025
1197029064,23475.0,15/08/2025
1197136770,11924.23,15/08/2025
1197156357,7.07,15/08/2025
1197157135,3.95,15/08/2025
1197171821,482.0,15/08/2025
1197181699,922.0,15/08/2025
1197181699,427.18,15/08/2025
1197223588,5287.0,15/08/2025
1197286455,15062.4,15/08/2025
1197361832,6821.34,15/08/2025
1197476034,14585.0,15/08/2025
1197532381,278.61,15/08/2025
1197623326,2053.89,15/08/2025
1197653437,462.0,15/08/2025
1197653437,1023.19,15/08/2025
1197657635,8475.24,15/08/2025
1197699144,67032.0,15/08/2025
1197699320,18996.65,15/08/2025
1197713386,46809.0,15/08/2025
1197729856,4761.76,15/08/2025
1197802108,72.35,15/08/2025
1197906890,1.67,15/08/2025
1197908575,0.0,15/08/2025
1197928939,8693.1,15/08/2025
1197929526,353903.42,15/08/2025
1197990874,12208.78,15/08/2025
1198043698,48288.0,15/08/2025
1198091504,96321.0,15/08/2025
1198128155,16767.0,15/08/2025
1198164097,52616.06,15/08/2025
1198185566,3939.0,15/08/2025
1198190734,0.0,15/08/2025
1198197136,0.0,15/08/2025
1198213637,181.14,15/08/2025
1198277764,57.48,15/08/2025
1198281401,37693.0,15/08/2025
1198352347,4522.75,15/08/2025
1198355616,37897.0,15/08/2025
1198379440,29892.0,15/08/2025
1198389871,9748.8,15/08/2025
1198393686,24775.0,15/08/2025
1198527749,41591.0,15/08/2025
1198548462,21784.0,15/08/2025
1198553854,1.18,15/08/2025
1198597606,4944.36,15/08/2025
1198626672,9034.27,15/08/2025
1198659995,25036.0,15/08/2025
1198798280,5799.0,15/08/2025
1198841428,0.0,15/08/2025
1198855657,23905.77,15/08/2025
1198865569,98320.0,15/08/2025
1198927076,43.69,15/08/2025
1198952193,13638.0,15/08/2025
1198967368,4377.88,15/08/2025
1199011455,0.0,15/08/2025
1199057550,449.28,15/08/2025
1199064402,46103.0,15/08/2025
1199111371,90673.0,15/08/2025
1199111371,644.0,15/08/2025
1199113215,497.0,15/08/2025
1199113215,0.0,15/08/2025
1199152028,30489.0,15/08/2025
1199154519,0.0,15/08/2025
1199162365,28470.57,15/08/2025
1199200370,46717.0,15/08/2025
1199200756,95.17,15/08/2025
1199217887,0.0,15/08/2025
1199296317,20624.0,15/08/2025
1199319912,22840.0,15/08/2025
1199359128,32593.63,15/08/2025
1199385232,9322.81,15/08/2025
1199573728,40739.0,15/08/2025
1199586595,13554.21,15/08/2025
